LoanStatNew
annual_inc
collection_recovery_fee
delinq_2yrs
dti
funded_amnt
funded_amnt_inv
inq_last_6mths
installment
int_rate
last_pymnt_amnt
loan_amnt
mths_since_last_delinq
mths_since_last_record
open_acc
out_prncp
out_prncp_inv
pub_rec
pub_rec_bankruptcies
recoveries
revol_bal
revol_util
total_acc
total_pymnt
total_pymnt_inv
total_rec_int
total_rec_late_fee
total_rec_prncp
